Remaining at the end of day
,60 cbm,25 cbm,,Units,Units%,,Volume,Volume%,,Value,Value%
Total,,,,41317.0,100%,,990.501,100%,,$111623.03,100%
16 Jul,2.0,0.0,,38075.0,92.15%,,870.547,87.89%,,$99387.03,89.04%
17 Jul,0.0,0.0,,38075.0,92.15%,,870.547,87.89%,,$99387.03,89.04%
18 Jul,0.0,0.0,,38075.0,92.15%,,870.547,87.89%,,$99387.03,89.04%
19 Jul,0.0,0.0,,38075.0,92.15%,,870.547,87.89%,,$99387.03,89.04%
20 Jul,3.0,0.0,,31900.0,77.21%,,759.019,76.63%,,$72035.47,64.53%
21 Jul,0.0,0.0,,31900.0,77.21%,,759.019,76.63%,,$72035.47,64.53%
22 Jul,0.0,0.0,,31900.0,77.21%,,759.019,76.63%,,$72035.47,64.53%
23 Jul,0.0,1.0,,30588.0,74.03%,,734.019,74.11%,,$66025.91,59.15%
24 Jul,1.0,0.0,,27164.0,65.75%,,674.019,68.05%,,$56378.06,50.51%
25 Jul,0.0,0.0,,27164.0,65.75%,,674.019,68.05%,,$56378.06,50.51%
26 Jul,4.0,0.0,,20081.0,48.6%,,453.862,45.82%,,$40805.93,36.56%
27 Jul,0.0,0.0,,20081.0,48.6%,,453.862,45.82%,,$40805.93,36.56%
28 Jul,0.0,0.0,,20081.0,48.6%,,453.862,45.82%,,$40805.93,36.56%
29 Jul,0.0,0.0,,20081.0,48.6%,,453.862,45.82%,,$40805.93,36.56%
30 Jul,1.0,1.0,,17892.0,43.3%,,400.345,40.42%,,$35053.16,31.4%
31 Jul,1.0,0.0,,16008.0,38.74%,,340.345,34.36%,,$29124.82,26.09%
1 Aug,0.0,1.0,,14995.0,36.29%,,317.858,32.09%,,$27313.83,24.47%
2 Aug,0.0,2.0,,14539.0,35.19%,,306.249,30.92%,,$26923.32,24.12%
3 Aug,1.0,0.0,,12273.0,29.7%,,251.865,25.43%,,$24615.57,22.05%
4 Aug,0.0,0.0,,12273.0,29.7%,,251.865,25.43%,,$24615.57,22.05%
5 Aug,0.0,0.0,,12273.0,29.7%,,251.865,25.43%,,$24615.57,22.05%
6 Aug,4.0,1.0,,2147.0,5.2%,,32.279,3.26%,,$6195.72,5.55%
7 Aug,0.0,0.0,,2147.0,5.2%,,32.279,3.26%,,$6195.72,5.55%
8 Aug,1.0,0.0,,0.0,0.0%,,-0.0,-0.0%,,$0.0,0.0%
9 Aug,0.0,0.0,,0.0,0.0%,,-0.0,-0.0%,,$0.0,0.0%
10 Aug,0.0,0.0,,0.0,0.0%,,-0.0,-0.0%,,$0.0,0.0%
11 Aug,0.0,0.0,,0.0,0.0%,,-0.0,-0.0%,,$0.0,0.0%
12 Aug,0.0,0.0,,0.0,0.0%,,-0.0,-0.0%,,$0.0,0.0%
